hyundai,ioniq5n-(NE-N)
hyundai,tucson-(JM)
hyundai,tucson-ix-(LM)
hyundai,new-tucson-ix-(LM)
hyundai,all-new-tucson-(TL)
hyundai,tucson-(TL)-FL
hyundai,the-all-new-tucson-(NX4)
hyundai,nexo-(FE)
hyundai,santa-fe-(SM)
hyundai,santa-fe-(CM)
hyundai,santa-fe-(DM)
hyundai,santa-fe-the-prime-(DM)
hyundai,santa-fe-(TM)
hyundai,the-new-santa-fe-(TM)
hyundai,santa-fe-(MX5)
hyundai,galloper-(M)
hyundai,terracan-(HP)
hyundai,veracruz-(EN)
hyundai,maxcruz-(NC)
hyundai,the-new-maxcruz-(NC)
hyundai,palisade-(LX2)
hyundai,the-new-palisade-(LX2)
hyundai,ioniq7
hyundai,labita-(FC)
hyundai,santamo-(M2)
hyundai,trajet-XG-(FO)
hyundai,starex-(US4)
hyundai,forest-(HR)
hyundai,grace
hyundai,new-grace
hyundai,starex-(A1)
hyundai,starex-jumbo-(A1)
hyundai,starex-(TQ)
hyundai,the-new-grand-starex-(TQ)
hyundai,porter-(AH)
hyundai,new-porter-(AU)
hyundai,porter2-(HR)
hyundai,porter2-EV-(HR)
hyundai,libero-(SR)
hyundai,solaris-(EU)
hyundai,county-(CN)
hyundai,county-EV-(CN)
hyundai,mighty-(WQ)
hyundai,mega-truck-(VC)
hyundai,favis-(QV)
hyundai,santa-cruze-(NX4-OB)
